index,ID,Title,Citation,Content,SectionDetail1,SectionDetail2,SectionDetail3,SectionDetail4,CodingSummary,Disease Investigation,DIxRef,Disease Reporting,DRepxRef,Syndromic Surveillance,SSxRef,Lab Reporting,LRxRef,Cancer Registry,CRxRef,Immunization Registry,IRxRef,Vital Statistics,VSxRef,Birth Defects,BDxRef,Newborn Blood Screening,NBBSxRef,MethPrecursorTracking,MethTrackingxRef,Anatomical Gift,AGxRef,Mental and Behavioral Health Reporting,MHRxRef,Accountable Care Organizations,ACOxRef,HIE-HIO,HIExRef,EHR-Treatment,EHRxRef,EHR-Education,EdxRef,EHR-Corrections,CxRef,Workers Compensation,WCxRef,Payor,PxRef,Prescription Drug Monitoring Program,PDMPxRef,ControlledSubstances,CSxRef,HealthCareQuality,HCQxRef,AdvanceDirectiveInformationSystems,ADISxRef,TraumaInformationSystems,TISxRef,ChildBloodLead,CBLxRef,NewbornHearingScreening,NBHSxRef,MedicalMarijuana,MMxR,EMSReporting,EMSxRef,ChildSupportWelfareFoster,CSupportxRef,HazardousSubstanceRegistry,HazSubxRef,DriversLicense,DLxRef,ResearchPublicUse,PubUsexRef,HITOversight,HITOxRef,GovernmentRecords,GovRecxRef,OccupationalHealth,OHxRef,PublicAssistance,PubAssistxRef,DentalIdentification,DentalxRef,VulnerablePopulations,VulnerablePopxRef,BreathTestingRec,BreathTestxRef,VoterRegistration,VoterRegxRef,PropertyTax,PropertyTaxxRef,FamilyPlanning,FamPlanxRef,HealthcareServiceReport,HCSReportxRef,InfectiousDisEpiSystem,IDEpiSystemxRef,AdminInvestigations,AdminInvestxRef,MedMalReporting,MedMalxRef,MentalHealthGun,MHGunxRef,BirthRelatedComp,BirthRelatedCompxR,ChronicDiseaseIS,ChronicDiseaseISxR,Location 1
0,,,,,,,,,Total True:,1,3,18,20,3,14,3,9,18,3,37,32,150,44,11,2,8,2,10,1,51,1,15,4,10,12,298,117,664,387,36,15,24,8,57,6,528,173,38,14,22,67,27,47,12,1,9,1,5,1,3,0,3,0,7,2,28,8,1,0,3,0,12,11,161,17,30,1,32,0,5,2,2,0,1,0,1,0,1,1,1,0,1,0,5,3,1,0,6,1,2,0,1,0,1,0,2,1,
1,794,218A.171 Electronic prescribing,KY ST § 218A.171,Statutes,Title XVIII. Public Health,Chapter 218A. Controlled Substances,,,"EHR-T, CSxR,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,2386,§ 10301. Purpose,DE ST TI 16 § 10301,Statutes,Title 16. Health and Safety,Part XII. Emergency Services,Chapter 103. Delaware Health Information Network,,"HIE,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,514,765.511. Definitions,FL ST § 765.511,Statutes,Title XLIV. Civil Rights (Chapters 760-765),Chapter 765. Health Care Advance Directives,Part V. Anatomical Gifts,,"AG,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,669,120/15. Definitions,IL ST CH 225 § 120/15,Statutes,Chapter 225. Professions and Occupations,Health,Act 120. Wholesale Drug Distribution Licensing Act,,"CS,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,615,§ 39-3204. Scope of grant support,ID ST § 39-3204,Statutes,Title 39. Health and Safety,Chapter 32. Idaho Community Health Center Grant Program,,,"EHR-TxR, Pay,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,990,§ 1711-A. Fees charged for records,ME ST T. 22 § 1711-A,Statutes,Title 22. Health and Welfare,Subtitle 2. Health,Part 4. Hospitals and Medical Care,Chapter 401. General Provisions,"EHR-T,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,506,409.913. Oversight of the integrity of the Medicaid program,FL ST § 409.913,Statutes,Title XXX. Social Welfare (Chapters 409-434),Chapter 409. Social and Economic Assistance,Part III. Medicaid,,"Pay,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,1590,310:667-40-11. Medical record services,OK ADC 310:667-40-11 | Title 310. Oklahoma State Department of Health,Regulations,,,,,"EHR-T,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,2568,§ 2959-a. Multipayor patient centered medical home program,NY PUB HEALTH § 2959-a,Statutes,Chapter 45. Of the Consolidated Laws,Article 29-AA. Patient Centered Medical Homes,,,"HIExR, EHR-T, PayxR,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,2250,DHS 106.02 General requirements for provision of services.,WI ADC s DHS 106.02 | Department of Health Services,Regulations,Department of Health Services,Chapter DHS 106. Provider Rights and Responsibilities,,,"Pay,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,2106,§ 402 Definitions,19 V.I.C. § 402,Statutes,Title 19. Health,Part II. Hospitals and Nursing Schools,Chapter 20. Virgin Islands Revised Uniform Anatomical Gift,,"AG,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,724,150.10 Definitions,89 IL ADC 150.10 | Title 89: Social Services,Regulations,Title 89: Social Services,Chapter I(3): Department of Healthcare and Family Services,Subchapter E: General Time-Limited Changes,Part 150: Electronic Health Information Technology,"EHR-TxR, Pay,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,371,1011-1:VII-1.105. Administrative Functions,6 CO ADC 1011-1:VII-1.105 | Title 1000. Department of Public Health and Environment,Regulations,Title 1000. Department of Public Health and Environment,"1011. Health Facilities and Emergency Medical Services Division (1011, 1015 Series)",6 CCR 1011-1. Standards for Hospitals and Health Facilities,Chapter VII. Assisted Living Residences,"EHR-T,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,1034,144.148. Rural hospital capital improvement grant program,MN ST § 144.148,Statutes,Health (Ch. 144-159),Chapter 144. Department of Health,Rural Hospital Grant Program,,"EHR-TxR, Pay,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,623,010. DEFINITIONS.,ID ADC 16.02.11.010 | Agency 16. Department of Health and Welfare,Regulations,Agency 16. Department of Health and Welfare,Title 02,Chapter 11. Immunization Requirements for Children Attending Licensed Day Care Facilities in Idaho,,"IRxR, EHR-E,",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,1998,§ 102.5. General Rules for Written Communications to and from the Commission,28 TX ADC § 102.5 | Title 28. Insurance,Regulations,Title 28. Insurance,"Part 2. Texas Department of Insurance, Division of Workers' Compensation",Chapter 102. Practices and Procedures--General Provisions,,"WC,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,620,010. DEFINITIONS.,ID ADC 05.01.02.010 | Agency 05. Department of Juvenile Corrections,Regulations,Agency 05. Department of Juvenile Corrections,Title 01.,Chapter 02. Rules and Standards for Secure Juvenile Detention Centers,,"EHR-C,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,1915,§ 538.052. Solicitation of Suggestions for Clinical Initiatives,TX GOVT § 538.052,Statutes,Government Code (Refs & Annos),Title 4. Executive Branch (Refs & Annos),Subtitle I. Health and Human Services,Chapter 538. Medicaid Quality Improvement Process for Clinical Initiatives,"HIExR, Pay,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,65,420-7-3-.05. Confidentiality Of Data.,AL ADC 420-7-3-.05 | Alabama State Board of Health Department of Public Health,Regulations,,,,,"CR,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,2129,§ 9491. Health care workforce; strategic plan,VT ST T. 18 § 9491,Statutes,Title Eighteen. Health,Part 9. Unified Health Care System,Chapter 222. Access to Health Care Professionals,,"EHR-T,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,1735,855-041-5170 Records,OR ADC 855-041-5170 | Chapter 855. Board of Pharmacy,Regulations,Chapter 855. Board of Pharmacy,Division 41. Operation of Pharmacies (Ambulatory and Residential Drug Outlets),Residential Drug Outlets,,"EHR-T,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,2229,69.05. Duties of local registrar,WI ST 69.05,Statutes,Statistics (Ch. 69),Chapter 69. Collection of Statistics (Refs & Annos),Subchapter I. Vital Statistics,,"VS,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,2695,§ 65-28-13. Security Safeguards.,WV ADC § 65-28-13 | Title 65. Health Care Authority,Regulations,,,,,"HIE,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
